#           Time            Rate           Error
       0.0000000       190.78417       13.812464
       1.0000000       191.98613       13.855906
       2.0000000       191.52343       13.839199
       3.0000000       187.90409       13.707811
       4.0000000       182.42505       13.506482
       5.0000000       181.55963       13.474407
       6.0000000       181.36979       13.467360
       7.0000000       179.66230       13.403817
       8.0000000       176.70905       13.293196
       9.0000000       177.54025       13.324423
       10.000000       174.76540       13.219887
       11.000000       175.81851       13.259657
       12.000000       171.71758       13.104105
       13.000000       171.60656       13.099869
       14.000000       171.70392       13.103584
       15.000000       169.39026       13.015001
       16.000000       168.38665       12.976388
       17.000000       164.99146       12.844900
       18.000000       164.94402       12.843053
       19.000000       157.85255       12.563938
       20.000000       160.26476       12.659572
       21.000000       161.51746       12.708952
       22.000000       153.47255       12.388404
       23.000000       159.04829       12.611435
       24.000000       157.29181       12.541603
       25.000000       152.79468       12.361015
       26.000000       147.67768       12.152270
       27.000000       149.45480       12.225171
       28.000000       146.58317       12.107154
       29.000000       147.23729       12.134137
       30.000000       145.25420       12.052145
       31.000000       147.62201       12.149980
       32.000000       145.30690       12.054331
       33.000000       142.21710       11.925481
       34.000000       143.33881       11.972419
       35.000000       141.14585       11.880482
       36.000000       140.83999       11.867602
       37.000000       134.87458       11.613551
       38.000000       137.50680       11.726329
       39.000000       136.99597       11.704528
       40.000000       134.23614       11.586032
       41.000000       136.07570       11.665149
       42.000000       132.29953       11.502153
       43.000000       131.50457       11.467544
       44.000000       127.09172       11.273496
       45.000000       126.73644       11.257728
       46.000000       130.46965       11.422331
       47.000000       124.70588       11.167179
       48.000000       126.42684       11.243969
       49.000000       124.10130       11.140076
       50.000000       123.27033       11.102717
       51.000000       119.01550       10.909423
       52.000000       121.57516       11.026113
       53.000000       120.36521       10.971108
       54.000000       123.24462       11.101559
       55.000000       120.04421       10.956469
       56.000000       121.04878       11.002217
       57.000000       117.96345       10.861098
       58.000000       116.62746       10.799420
       59.000000       113.54396       10.655701
       60.000000       113.49280       10.653300
       61.000000       114.40468       10.696012
       62.000000       111.30068       10.549914
       63.000000       110.48878       10.511364
