F1198; V VC UHV0       ; V   
F1199; V VC UHV1       ; V   
F1200; V VC UHV2       ; V   
F1201; V VC UHV3       ; V   
F1249; E C0 UVBST      ; V   
F1250; E C1 UVBST      ; V   
F1251; E C2 UVBST      ; V   
F1252; E C3 UVBST      ; V   
F1257; E C0 IVSSA      ; mA  
F1258; E C1 IVSSA      ; mA  
F1259; E C2 IVSSA      ; mA  
F1260; E C3 IVSSA      ; mA  
F1549; E C0 UPHI H     ; V   
F1649; E C1 UPHI H     ; V   
F1749; E C2 UPHI H     ; V   
F1849; E C3 UPHI H     ; V   
F1550; E C0 UPHI L     ; V   
F1650; E C1 UPHI L     ; V   
F1750; E C2 UPHI L     ; V   
F1850; E C3 UPHI L     ; V   
F1553; E C0 RFGA H     ; V   
F1653; E C1 RFGA H     ; V   
F1753; E C2 RFGA H     ; V   
F1853; E C3 RFGA H     ; V   
F1554; E C0 RFGA L     ; V   
F1654; E C1 RFGA L     ; V   
F1754; E C2 RFGA L     ; V   
F1854; E C3 RFGA L     ; V   
F1556; E C0 U-BIAS     ; V   
F1656; E C1 U-BIAS     ; V   
F1756; E C2 U-BIAS     ; V   
F1856; E C3 U-BIAS     ; V   
F1557; E C0 UCMXVDD    ; V   
F1657; E C1 UCMXVDD    ; V   
F1757; E C2 UCMXVDD    ; V   
F1857; E C3 UCMXVDD    ; V   
F1558; E C0 UCMXVSS    ; V   
F1658; E C1 UCMXVSS    ; V   
F1758; E C2 UCMXVSS    ; V   
F1858; E C3 UCMXVSS    ; V   
F1559; E C0 U+15       ; V   
F1659; E C1 U+15       ; V   
F1759; E C2 U+15       ; V   
F1859; E C3 U+15       ; V   
F1560; E C0 U-15       ; V   
F1660; E C1 U-15       ; V   
F1760; E C2 U-15       ; V   
F1860; E C3 U-15       ; V   
F1561; E C0 U-35       ; V   
F1661; E C1 U-35       ; V   
F1761; E C2 U-35       ; V   
F1861; E C3 U-35       ; V   
F1562; E C0 UVDD       ; V   
F1662; E C1 UVDD       ; V   
F1762; E C2 UVDD       ; V   
F1862; E C3 UVDD       ; V   
F1563; E C0 UVDDA      ; V   
F1663; E C1 UVDDA      ; V   
F1763; E C2 UVDDA      ; V   
F1863; E C3 UVDDA      ; V   
F1564; E C0 UVSSA      ; V   
F1664; E C1 UVSSA      ; V   
F1764; E C2 UVSSA      ; V   
F1864; E C3 UVSSA      ; V   
F1566; E C0 IVDDA      ; mA  
F1666; E C1 IVDDA      ; mA  
F1766; E C2 IVDDA      ; mA  
F1866; E C3 IVDDA      ; mA  
F1567; E C0 I+15       ; mA  
F1667; E C1 I+15       ; mA  
F1767; E C2 I+15       ; mA  
F1867; E C3 I+15       ; mA  
F1568; E C0 I-15       ; mA  
F1668; E C1 I-15       ; mA  
F1768; E C2 I-15       ; mA  
F1868; E C3 I-15       ; mA  
F1569; E C0 IVDD D     ; mA  
F1669; E C1 IVDD D     ; mA  
F1769; E C2 IVDD D     ; mA  
F1869; E C3 IVDD D     ; mA  
F1570; E C0 IIS        ; uA  
F1670; E C1 IIS        ; uA  
F1770; E C2 IIS        ; uA  
F1870; E C3 IIS        ; uA  
F1571; E C0 IGRA0      ; uA  
F1671; E C1 IGRA0      ; uA  
F1771; E C2 IGRA0      ; uA  
F1871; E C3 IGRA0      ; uA  
