
               ***  fasthk  OUTPUT LIST :  ***
HH:MM:SS	R33       	R34       	R35       	R36       
06:21:52	       891	       969	       830	       861
06:22:08	       916	       980	       793	       831
06:22:24	       956	       958	       887	       842
06:22:40	       999	      1010	       858	       827
06:22:56	       899	       973	       771	       901
06:23:12	       967	       982	       876	       861
06:31:12	       951	      1015	       822	       855
06:31:28	       932	       991	       841	       847
06:31:44	       956	       994	       804	       813
06:32:32	       863	       949	       815	       796
06:32:48	       963	       988	       836	       861
06:33:04	       875	       903	       793	       865
06:33:20	       906	       981	       890	       853
06:33:36	       924	       982	       843	       847
06:33:52	       980	       945	       790	       834
06:34:08	       965	       974	       817	       854
06:34:56	       899	      1001	       857	       842
06:35:12	       852	       978	       829	       861
06:35:28	       867	       951	       842	       822
06:36:48	       916	       971	       828	       795
06:37:04	       963	       986	       828	       813
06:38:56	       944	       946	       807	       832
06:39:12	       915	       982	       836	       869
06:40:00	       939	      1008	       849	       867
06:40:16	       897	       971	       789	       841
06:40:32	       917	      1004	       836	       827
06:40:48	       952	       988	       815	       798
06:41:04	       907	       976	       839	       861
06:41:20	       965	       994	       798	       818
06:41:36	       920	       975	       839	       856
06:41:52	       898	       969	       839	       848
06:42:08	       934	       987	       879	       813
06:42:24	       939	       989	       813	       831
06:43:44	       949	       985	       823	       907
06:44:32	       850	       994	       716	       846
06:44:48	       879	       953	       799	       860
06:45:04	       945	      1012	       839	       867
06:45:20	       915	       999	       781	       847
06:45:36	       962	       993	       800	       821
06:45:52	       976	      1051	       809	       851
06:46:08	       952	       992	       830	       777
06:46:24	       936	       951	       840	       843
06:46:40	       839	       972	       799	       880
06:46:56	       912	      1008	       842	       813
06:47:12	       943	       967	       831	       832
06:48:00	       860	       972	       815	       856
06:48:16	       975	       929	       893	       870
06:48:32	       914	       951	       809	       794
06:48:48	       865	       870	       819	       861
06:49:04	       854	       978	       835	       876
06:49:20	       973	      1012	       818	       843
06:49:36	       873	       917	       798	       846
06:49:52	       932	       984	       827	       835
06:50:08	       924	       986	       811	       838
06:50:24	       929	       970	       791	       802
06:50:40	       951	       931	       771	       797
06:50:56	       923	       982	       791	       814
06:51:12	       968	       960	       865	       845
06:51:28	       917	       960	       808	       851
06:52:16	       925	       946	       836	       822
06:52:32	       986	       972	       879	       809
06:52:48	       917	       981	       791	       861
06:53:04	       959	       912	       831	       792
06:53:20	       930	      1005	       832	       850
06:53:36	       916	       992	       798	       880
06:53:52	       873	       994	       844	       865
06:55:12	       902	       972	       803	       889
06:56:00	       904	       972	       888	       852
06:56:48	      1008	       948	       827	       822
06:57:04	       946	       946	       853	       857
06:57:20	       929	       944	       783	       841
06:57:36	       923	       985	       799	       808
06:57:52	       912	       927	       810	       822
06:58:08	       895	       949	       794	       849
06:58:24	       905	       948	       804	       806
06:58:40	       915	       945	       795	       810
06:58:56	       920	       989	       808	       884
06:59:12	       923	       953	       895	       855
06:59:28	       952	       936	       841	       867
06:59:44	       901	       998	       816	       841
07:00:00	       904	       968	       814	       858
07:00:16	       970	       975	       862	       848
07:00:32	       935	       883	       801	       873
07:00:48	       975	      1003	       821	       844
07:01:04	       971	       986	       834	       793
07:01:20	       965	      1035	       809	       837
07:01:36	       918	       983	       791	       863
07:01:52	       938	       994	       812	       848
07:02:08	       973	      1010	       764	       832
07:02:24	       837	       903	       820	       877
07:02:56	       878	       973	       879	       844
07:03:12	       890	       985	       884	       798
07:03:28	       953	       984	       853	       848
07:04:16	       935	       984	       805	       872
07:04:32	       945	       973	       811	       853
07:04:48	       951	       975	       800	       850
07:05:36	       910	       954	       829	       840
07:05:52	       938	       973	       891	       848
07:06:08	       945	       953	       834	       844
07:06:24	       919	       992	       772	       891
07:07:12	       954	       944	       799	       899
07:07:28	       914	       953	       781	       845
07:07:44	       906	      1002	       870	       817
07:08:00	       887	       872	       844	       863
07:08:16	       904	       995	       813	       846
07:08:32	       891	       953	       818	       853
07:09:20	       929	       975	       853	       827
07:09:36	       940	       937	       772	       823
07:09:52	       958	       948	       805	       863
07:10:08	       894	       949	       796	       898
07:10:24	       894	       966	       858	       840
07:10:40	       956	       950	       794	       860
07:11:28	       915	       956	       871	       835
07:11:44	       902	       968	       832	       846
07:12:00	       910	      1003	       855	       857
07:12:16	       912	       989	       769	       804
07:13:04	       913	       971	       841	       852
07:13:20	       902	       989	       807	       859
07:13:36	       920	       998	       764	       844
07:13:52	       932	       929	       869	       868
07:14:08	       930	       985	       807	       909
07:14:24	       940	       975	       874	       855
07:15:12	       924	       987	       819	       820
07:15:28	       906	       972	       836	       853
07:15:44	       893	       973	       817	       836
07:16:00	       885	       985	       817	       867
07:16:16	       967	      1014	       795	       846
07:16:32	       923	       970	       794	       821
07:17:20	       925	       984	       815	       859
07:17:36	       931	       934	       783	       813
07:17:52	       969	      1017	       800	       873
07:18:40	       889	       955	       790	       835
07:19:28	       891	       965	       812	       791
07:19:44	       960	       981	       848	       831
07:20:00	       965	       966	       831	       839
07:20:16	       887	       971	       824	       836
07:20:32	       940	       944	       765	       844
07:20:48	       946	       940	       796	       820
07:21:36	       932	       980	       799	       850
07:21:52	       934	       962	       823	       877
07:22:40	       944	       943	       836	       824
07:22:56	       959	       948	       797	       868
07:23:44	       964	       955	       813	       855
07:24:00	       978	       944	       804	       868
07:24:16	       975	       969	       856	       866
07:24:32	       970	       993	       846	       794
07:25:52	       962	       932	       814	       868
07:26:08	       904	       979	       817	       859
07:26:24	       868	       989	       778	       858
07:26:40	       993	       986	       844	       873
07:28:00	       865	       981	       803	       869
07:28:16	       919	       873	       795	       864
07:28:32	       903	      1028	       824	       888
07:28:48	       882	      1012	       775	       862
07:30:08	       888	       957	       847	       822
07:30:24	       939	      1009	       837	       824
07:31:12	       924	       973	       831	       826
07:31:28	       932	       997	       800	       873
07:32:16	       955	       981	       819	       835
07:32:32	       881	       966	       826	       856
07:32:48	       868	       954	       835	       864
07:33:04	      1014	       934	       891	       805
07:33:20	       900	       956	       835	       803
07:33:36	       906	       962	       867	       807
07:34:24	       921	       905	       790	       885
07:34:40	       975	       987	       778	       837
07:35:28	       942	       999	       820	       881
