WL      Mu(Be)  Mu(Xe)  G(Wvlnth)
nm      cm2/g   cm2/g   A/(W/m2)
0.010   0.100     1.2   1.171e-07
0.020   0.100     7.2   5.818e-07
0.030   0.100    21.0   1.249e-06
0.036   0.100    33.1   1.569e-06
0.036   0.100     5.9   6.971e-07
0.040   0.100     8.0   9.328e-07
0.050   0.100    14.7   1.680e-06
0.060   0.100    24.3   2.703e-06
0.070   0.100    37.0   3.976e-06
0.080   0.130    53.2   5.462e-06
0.090   0.190    73.1   7.092e-06
0.100   0.260    97.1   8.815e-06
0.110   0.350   126.0   1.058e-05
0.120   0.460   159.0   1.223e-05
0.130   0.590   197.0   1.374e-05
0.140   0.740   239.0   1.501e-05
0.150   0.910   275.0   1.576e-05
0.160   1.100   327.0   1.660e-05
0.170   1.300   383.0   1.718e-05
0.180   1.600   447.0   1.740e-05
0.190   1.900   518.0   1.744e-05
0.200   2.200   592.0   1.729e-05
0.210   2.600   673.0   1.687e-05
0.220   2.900   762.0   1.654e-05
0.230   3.400   725.0   1.563e-05
0.240   3.800   792.0   1.509e-05
0.250   4.400   625.0   1.384e-05
0.259   4.800   660.0   1.337e-05
0.259   4.800   231.0   1.041e-05
0.260   4.900   232.0   1.033e-05
0.270   5.500   255.0   1.022e-05
0.280   6.200   275.0   9.902e-06
0.290   6.900   303.0   9.656e-06
0.300   7.600   328.0   9.317e-06
0.310   8.400   357.0   8.897e-06
0.320   9.300   388.0   8.385e-06
0.330  10.200   421.0   7.876e-06
0.340  11.200   454.0   7.296e-06
0.350  12.200   491.0   6.747e-06
0.360  13.400   529.0   6.100e-06
0.380  15.800   609.0   4.951e-06
0.400  18.500   694.0   3.873e-06
0.420  21.500   791.0   2.928e-06
0.440  24.800   885.0   2.140e-06
0.460  28.500   991.0   1.501e-06
0.480  32.500  1090.0   1.020e-06
0.500  36.900  1190.0   6.665e-07
0.550  49.600  1500.0   1.944e-07
0.600  65.000  1860.0   4.356e-08
0.700 104.000  2740.0   9.851e-10
0.800 157.000  3710.0   5.716e-12
