WL      Me(Be)  Me(Ar)  G(Wvlnth)
nm      cm2/g   cm2/g   A/(W/m2)
0.020    0.100     0.4  1.756e-08
0.040    0.100     2.9  1.258e-07
0.060    0.100     8.9  3.772e-07
0.080    0.130    20.0  8.139e-07
0.100    0.260    36.0  1.384e-06
0.120    0.460    59.0  2.094e-06
0.140    0.740    90.0  2.883e-06
0.160    1.100   130.0  3.669e-06
0.180    1.600   180.0  4.376e-06
0.200    2.200   240.0  4.939e-06
0.220    2.900   311.0  5.341e-06
0.240    3.800   393.0  5.583e-06
0.260    4.900   489.0  5.698e-06
0.280    6.200   597.0  5.713e-06
0.300    7.600   720.0  5.670e-06
0.320    9.300   858.0  5.581e-06
0.340   11.200  1011.0  5.467e-06
0.360   13.400  1180.0  5.334e-06
0.380   15.800  1366.0  5.190e-06
0.400   18.500   167.0  3.644e-06
0.420   21.500   189.0  3.767e-06
0.440   24.800   213.0  3.852e-06
0.460   28.500   239.0  3.894e-06
0.480   32.500   267.0  3.898e-06
0.500   36.900   296.0  3.857e-06
0.520   41.700   328.0  3.784e-06
0.540   46.900   363.0  3.680e-06
0.560   52.500   399.0  3.547e-06
0.580   58.500   438.0  3.392e-06
0.600   65.000   479.0  3.217e-06
0.620   72.000   522.0  3.027e-06
0.640   79.000   568.0  2.842e-06
0.680   95.000   667.0  2.442e-06
0.720  113.000   778.0  2.046e-06
0.760  134.000   903.0  1.659e-06
0.800  157.000  1040.0  1.316e-06
0.840  183.000  1187.0  1.012e-06
0.880  211.000  1346.0  7.619e-07
0.920  242.000  1516.0  5.566e-07
0.960  275.000  1696.0  3.985e-07
1.000  311.000  1890.0  2.767e-07
1.040  351.000  2099.0  1.845e-07
1.080  393.000  2323.0  1.206e-07
1.120  439.000  2561.0  7.566e-08
1.160  488.000  2813.0  4.606e-08
1.200  540.000  3080.0  2.720e-08
1.300  690.000  3800.0  5.952e-09
1.400  860.000  4600.0  1.063e-09
1.500 1050.000  5500.0  1.552e-10
1.600 1270.000  6500.0  1.671e-11
0.38699   16.700  1435.0  5.138e-06
0.38701   16.700   153.0  3.536e-06
